DS 0000032B 000000AE 00000000 00000000 00000036
DS 00000364 000000D3 00000000 00000000 00000047
DS 0000037D 000000D3 00000000 00000000 00000054
DS 00000377 000000BC 00000000 00000000 0000004A
DS 00000368 000000BB 00000000 00000000 0000003C
DS 00000354 000000BE 00000000 00000000 0000004F
DS 00000357 000000C9 00000000 00000000 0000003E
DS 00000377 000000D2 00000000 00000000 00000054
DS 00000348 000000C7 00000000 00000000 00000047
DS 0000033E 000000B7 00000000 00000000 00000045
DS 00000348 000000AF 00000000 00000000 00000039
DS 00000399 000000CA 00000000 00000000 00000043
DS 0000031E 000000B3 00000000 00000000 0000003A
DS 0000031B 000000A4 00000000 00000000 0000003C
DS 00000354 000000B7 00000000 00000000 0000004A
DS 00000309 000000D5 00000000 00000000 0000004D
DS 0000034E 000000BB 00000000 00000000 00000041
DS 0000037B 000000B2 00000000 00000000 00000048
DS 0000035F 000000C7 00000000 00000000 00000044
DS 00000381 000000BA 00000000 00000000 0000003D
DS 00000373 000000BC 00000000 00000000 00000043
DS 00000375 000000B4 00000000 00000000 0000003F
DS 00000378 000000C8 00000000 00000000 0000004E
DS 0000035F 000000B5 00000000 00000000 0000003E
DS 0000035A 000000CB 00000000 00000000 0000004B
DS 00000368 000000D4 00000000 00000000 0000004C
DS 0000035F 000000B2 00000000 00000000 00000043
DS 00000387 000000CB 00000000 00000000 00000050
DS 00000377 000000BA 00000000 00000000 00000040
DS 00000372 000000DA 00000000 00000000 0000004E
DS 0000036A 000000BD 00000000 00000000 00000039
DS 0000038D 000000C9 00000000 00000000 00000051
DS 00000365 000000C7 00000000 00000000 00000042
DS 00000318 00000099 00000000 00000000 0000003C
DS 00000361 000000B9 00000000 00000000 00000049
DS 00000391 000000BE 00000000 00000000 00000049
DS 00000352 000000BD 00000000 00000000 00000040
DS 0000036E 000000C9 00000000 00000000 0000004A
DS 00000360 000000B0 00000000 00000000 00000045
DS 0000035F 000000A4 00000000 00000000 0000003D
DS 0000035D 000000B1 00000000 00000000 00000048
DS 0000033F 000000DD 00000000 00000000 00000040
DS 0000035B 000000D3 00000000 00000000 00000043
DS 0000038F 000000B4 00000000 00000000 0000003E
DS 00000335 000000B8 00000000 00000000 00000040
DS 00000351 000000BF 00000000 00000000 00000051
DS 0000034D 000000B9 00000000 00000000 0000004B
DS 00000363 000000C0 00000000 00000000 0000004D
DS 00000341 000000D2 00000000 00000000 00000044
DS 00000362 000000F2 00000000 00000000 0000005C
DS 00000347 000000D3 00000000 00000000 00000044
DS 00000374 000000D2 00000000 00000000 00000044
DS 00000344 000000D8 00000000 00000000 0000004C
DS 0000038F 000000CF 00000000 00000000 00000052
DS 00000373 000000B8 00000000 00000000 00000042
DS 0000033B 000000AE 00000000 00000000 00000038
DS 00000335 000000B4 00000000 00000000 0000003B
DS 0000036C 000000BF 00000000 00000000 00000044
DS 00000314 000000DA 00000000 00000000 0000003D
DS 00000354 0000009F 00000000 00000000 00000037
DS 00000389 000000C9 00000000 00000000 00000048
DS 00000365 000000C4 00000000 00000000 00000046
DS 00000344 000000D2 00000000 00000000 00000049
DS 00000356 000000B7 00000000 00000000 00000044
DS 0000036A 000000B5 00000000 00000000 00000049
DS 00000369 000000D5 00000000 00000000 0000004C
DS 0000035B 000000A9 00000000 00000000 0000003F
DS 0000035F 000000BB 00000000 00000000 0000004F
DS 00000371 000000C8 00000000 00000000 00000039
DS 00000370 000000C9 00000000 00000000 00000048
DS 0000038F 000000B3 00000000 00000000 0000003B
DS 0000033E 000000C2 00000000 00000000 0000003D
DS 00000361 000000A8 00000000 00000000 0000003E
DS 0000032A 000000B8 00000000 00000000 00000041
DS 0000036B 000000AB 00000000 00000000 00000037
DS 00000370 000000D2 00000000 00000000 00000041
DS 0000030E 000000B7 00000000 00000000 0000003A
